onset	duration	dsgn_onset	dsgn_duration	trial_type	database	identifier	valence	arousal
12.000	2.032	12.000	2.000	ex_stim	iaps	1750	8.28	4.1
16.391	1.994	16.368	2.000	ex_stim	iaps	5982	7.61	4.51
21.334	1.995	21.297	2.000	in_stim	iaps	2210	4.38	3.56
23.329	1.996	23.297	2.000	in_prep	n/a	n/a	n/a	n/a
25.325	7.991	25.297	8.000	in_feel	n/a	n/a	n/a	n/a
35.555	1.998	35.528	2.000	in_stim	iaps	1630	7.26	4.45
37.553	1.998	37.528	2.000	in_prep	n/a	n/a	n/a	n/a
39.551	8.007	39.528	8.000	in_feel	n/a	n/a	n/a	n/a
52.747	1.996	52.726	2.000	ex_stim	iaps	2540	7.63	3.97
58.533	2.009	58.518	2.000	ex_stim	iaps	9120	3.2	5.77
62.815	2.003	62.784	2.000	ex_stim	iaps	4641	7.2	5.43
70.714	1.995	70.686	2.000	ex_stim	iaps	7100	5.24	2.89
75.943	2.001	75.906	2.000	ex_stim	iaps	2520	4.13	4.22
80.763	1.995	80.740	2.000	ex_stim	iaps	1050	3.46	6.87
87.206	1.999	87.202	2.000	in_stim	iaps	5623	7.19	5.67
89.205	2.016	89.202	2.000	in_prep	n/a	n/a	n/a	n/a
91.221	7.982	91.202	8.000	in_feel	n/a	n/a	n/a	n/a
104.381	1.996	104.377	2.000	in_stim	iaps	1710	8.34	5.41
106.377	1.998	106.377	2.000	in_prep	n/a	n/a	n/a	n/a
108.375	8.008	108.377	8.000	in_feel	n/a	n/a	n/a	n/a
121.067	2.027	121.066	2.000	in_stim	iaps	9623	3.04	6.05
123.094	1.991	123.066	2.000	in_prep	n/a	n/a	n/a	n/a
125.085	8.003	125.066	8.000	in_feel	n/a	n/a	n/a	n/a
135.948	2.002	135.927	2.000	ex_stim	iaps	4503	6	4.93
142.637	1.999	142.639	2.000	ex_stim	iaps	9832	2.94	4.46
147.083	1.999	147.055	2.000	ex_stim	iaps	9360	4.03	2.63
153.840	1.993	153.832	2.000	ex_stim	iaps	7175	4.87	1.72
161.089	1.993	161.076	2.000	ex_stim	iaps	4619	6.46	5.09
168.934	2.026	168.939	2.000	ex_stim	iaps	3310	4.37	5.43
176.251	2.030	176.255	2.000	ex_stim	iaps	1022	4.26	6.02
183.803	1.994	183.780	2.000	ex_stim	iaps	2020	5.68	3.34
190.054	2.027	190.061	2.000	ex_stim	iaps	6300	2.59	6.61
197.751	1.991	197.739	2.000	ex_stim	iaps	7211	4.81	4.2
202.146	1.993	202.128	2.000	ex_stim	iaps	9331	2.87	3.85
206.506	1.992	206.496	2.000	ex_stim	iaps	9622	3.1	6.26
213.317	1.993	213.305	2.000	in_stim	iaps	1610	7.82	3.08
215.310	1.992	215.305	2.000	in_prep	n/a	n/a	n/a	n/a
217.302	7.999	217.305	8.000	in_feel	n/a	n/a	n/a	n/a
227.814	2.028	227.816	2.000	ex_stim	iaps	4531	5.81	4.28
234.342	2.026	234.350	2.000	ex_stim	iaps	3250	3.78	6.29
242.283	1.998	242.263	2.000	in_stim	iaps	3170	1.46	7.21
244.281	1.992	244.263	2.000	in_prep	n/a	n/a	n/a	n/a
246.273	8.000	246.263	8.000	in_feel	n/a	n/a	n/a	n/a
257.539	1.992	257.531	2.000	ex_stim	iaps	9254	2.03	6.04
263.824	2.000	263.812	2.000	ex_stim	iaps	8475	4.85	6.52
269.020	2.002	269.024	2.000	ex_stim	iaps	4626	7.6	5.78
274.381	1.992	274.371	2.000	in_stim	iaps	5972	3.85	6.34
276.373	1.993	276.371	2.000	in_prep	n/a	n/a	n/a	n/a
278.366	8.004	278.371	8.000	in_feel	n/a	n/a	n/a	n/a
290.904	1.993	290.893	2.000	in_stim	iaps	5920	5.16	6.23
292.897	1.993	292.893	2.000	in_prep	n/a	n/a	n/a	n/a
294.890	7.991	294.893	8.000	in_feel	n/a	n/a	n/a	n/a
308.348	1.993	308.353	2.000	ex_stim	iaps	9435	2.27	5
313.260	1.993	313.242	2.000	in_stim	iaps	2060	6.49	3.8
315.253	1.992	315.242	2.000	in_prep	n/a	n/a	n/a	n/a
317.245	7.987	317.242	8.000	in_feel	n/a	n/a	n/a	n/a
328.770	1.994	328.764	2.000	ex_stim	iaps	1931	4	6.8
333.625	2.028	333.629	2.000	ex_stim	iaps	4800	6.44	7.07
339.399	1.992	339.398	2.000	in_stim	iaps	8501	7.91	6.44
341.391	2.027	341.398	2.000	in_prep	n/a	n/a	n/a	n/a
343.418	8.001	343.398	8.000	in_feel	n/a	n/a	n/a	n/a
355.403	1.992	355.375	2.000	ex_stim	iaps	7043	5.17	3.68
362.422	2.001	362.429	2.000	ex_stim	iaps	7285	5.67	3.83
367.038	2.026	367.043	2.000	ex_stim	iaps	9163	2.1	6.53
374.594	1.992	374.596	2.000	in_stim	iaps	5000	7.08	2.67
376.586	2.026	376.596	2.000	in_prep	n/a	n/a	n/a	n/a
378.612	8.001	378.596	8.000	in_feel	n/a	n/a	n/a	n/a
392.433	2.030	392.444	2.000	ex_stim	iaps	2279	4.71	3.74
400.233	1.990	400.233	2.000	ex_stim	iaps	5750	6.6	3.14
405.833	1.993	405.813	2.000	ex_stim	iaps	2058	7.91	5.09
412.942	1.993	412.935	2.000	ex_stim	iaps	4770	4.91	5.85
420.295	2.004	420.291	2.000	ex_stim	iaps	8160	5.07	6.97
427.341	1.993	427.341	2.000	ex_stim	iaps	2722	3.47	3.52
432.905	1.990	432.897	2.000	ex_stim	iaps	3500	2.21	6.99
438.295	1.992	438.277	2.000	ex_stim	iaps	4550	4.95	5
446.193	1.993	446.186	2.000	ex_stim	iaps	7490	5.52	2.42
453.416	1.993	453.401	2.000	ex_stim	iaps	3015	1.52	5.9
457.676	2.027	457.683	2.000	in_stim	iaps	9090	3.56	3.97
459.703	1.993	459.683	2.000	in_prep	n/a	n/a	n/a	n/a
461.696	8.001	461.683	8.000	in_feel	n/a	n/a	n/a	n/a
474.333	2.027	474.342	2.000	ex_stim	iaps	2205	1.95	4.53
481.515	2.001	481.521	2.000	ex_stim	iaps	7031	4.52	2.03
488.510	1.993	488.501	2.000	ex_stim	iaps	2351	5.49	4.74
494.520	1.992	494.503	2.000	in_stim	iaps	8185	7.57	7.27
496.512	1.992	496.503	2.000	in_prep	n/a	n/a	n/a	n/a
498.504	8.002	498.503	8.000	in_feel	n/a	n/a	n/a	n/a
511.557	2.007	511.543	2.000	ex_stim	iaps	6930	4.39	4.88
517.821	1.994	517.804	2.000	in_stim	iaps	1460	8.21	4.31
519.815	1.995	519.804	2.000	in_prep	n/a	n/a	n/a	n/a
521.810	8.002	521.804	8.000	in_feel	n/a	n/a	n/a	n/a
